StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,Q1,Q2,Q3,Q4,Q5,Q1,Q1_7_TEXT,Q2,Q2.1,Q3,Q3_9_TEXT,Q4,Q4.1,Q4.1_5_TEXT,Q4.2,Q4.2_5_TEXT,Q1,Q1_8_TEXT,Q2,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q2,Q2_8_TEXT,Q3_1,Q3_2,Q3_3,Q3_4,Q1,Q2,Q2.1,Q3,Q3_7_TEXT,Q4,SC0
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Location Latitude,Location Longitude,Distribution Channel,"Can you tell me a bit about yourself? (e.g., student, working, living situation) - Selected Choice",Which best describe your current living situation? - Selected Choice,How long have you been living in your current area?,Do you know your neighbours or people nearby?,Have you ever felt unsafe or unsure when interacting with strangers?,"When you need help(e.g., moving, errands, advice), what do you usually do? - Selected Choice","When you need help(e.g., moving, errands, advice), what do you usually do? - Other - Text",Have you ever helped someone in your local community? Can you describe that experience?,What kind of help? - Selected Choice,What difficulties have you experienced when trying to find help? - Selected Choice,What difficulties have you experienced when trying to find help? - Others - Text,"Have you ever used any platform to seek help? (e.g., Facebook, Nextdoor, apps…etc)","If yes, which platforms? - Selected Choice","If yes, which platforms? - Others - Text",What do you like? - Selected Choice,What do you like? - Others - Text,"What features would you expect in a platform like this?

(Select all that apply) - Selected Choice","What features would you expect in a platform like this?

(Select all that apply) - Other: - Text",What kind of design you will Prefer?,"How motivating do you find the following features in a community mutual help platform?

Scale: 1 = Not motivating at all, 5 = Very motivating - Points for helping others","How motivating do you find the following features in a community mutual help platform?

Scale: 1 = Not motivating at all, 5 = Very motivating - Badges or achievement icons","How motivating do you find the following features in a community mutual help platform?

Scale: 1 = Not motivating at all, 5 = Very motivating - Levels or progress tracking","How motivating do you find the following features in a community mutual help platform?

Scale: 1 = Not motivating at all, 5 = Very motivating - Public recognition for contributions","How motivating do you find the following features in a community mutual help platform?

Scale: 1 = Not motivating at all, 5 = Very motivating - Leaderboards / rankings","How motivating do you find the following features in a community mutual help platform?

Scale: 1 = Not motivating at all, 5 = Very motivating - Rewards based on reputation or trust","Which game-inspired features would make you more likely to participate?
Select up to 3. - Selected Choice","Which game-inspired features would make you more likely to participate?
Select up to 3. - Other - Text","Please indicate your agreement with the following statements. 
(Scale: 1 = Strongly disagree, 5 = Strongly agree) - Gamification makes helping more engaging","Please indicate your agreement with the following statements. 
(Scale: 1 = Strongly disagree, 5 = Strongly agree) - Too much competition reduces authenticity","Please indicate your agreement with the following statements. 
(Scale: 1 = Strongly disagree, 5 = Strongly agree) - Helping should be community-driven, not reward-driven","Please indicate your agreement with the following statements. 
(Scale: 1 = Strongly disagree, 5 = Strongly agree) - Balanced gamification encourages participation without feeling superficial",What do you think about this idea?,Would you use this platform? Why or why not?,Would you use this platform? Why or why not?,Do you have any concerns about using such a platform? (Select all that apply) - Selected Choice,Do you have any concerns about using such a platform? (Select all that apply) - Other: - Text,Is there anything else you would like to share?,Score
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID14""}","{""ImportId"":""QID24""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_7_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID13""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_9_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_5_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_5_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_8_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_8_TEXT""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID35_7_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""SC_brVMSEqaWdBySeW""}"
20/3/2026 3:03,20/3/2026 3:06,Survey Preview,,100,185,TRUE,20/3/2026 3:06,R_4wM6xl5v1RBNIrT,-33.8672,151.1997,preview,Student,With roommates,More than 3 years,"No, I Don't know them at all",Often,Ask friends,,"Yes, occasionally",Giving advice,Don't know who to ask,,"Yes, occasionally",Facebook groups,,Easy to use,,User ratings/reviews,,,2,3,3,2,5,4,Community recognition,,3,2,2,5,Neutral,Probably would use,,Privacy,,,1
20/3/2026 3:12,20/3/2026 3:21,IP Address,49.183.16.143,100,547,TRUE,20/3/2026 3:21,R_4EiKgnlTXmOF32C,-37.7892,144.9658,anonymous,Student,With roommates,1-3 years,"No, I Don't know them at all",Rarely,Ask friends,,Never,,"Don't know who to ask,Afraid of bothering others,Lack of trust,Language barrier",,Never,Facebook groups,,"Easy to use,Convenient",,"User ratings/reviews,In-app chat,Location-based matching,Task categorisation",,,2,3,3,3,4,4,"Points,Reputation score,Small rewards or perks",,5,4,3,4,Very useful,Definitely would use,,"Safety,Privacy,Scams/fraud,Time commitment,Reliability of users",,,1
20/3/2026 3:20,20/3/2026 3:22,Survey Preview,,100,124,TRUE,20/3/2026 3:22,R_40ZcI2BF2vugcQF,-33.8672,151.1997,preview,Student,With roommates,More than 3 years,I've seen them but Don't interact,Often,"Ask friends,Ask family,Use social media (e.g., Facebook groups),Use messaging apps (e.g., WhatsApp, WeChat),Do it myself,Give up / delay",,Never,,"Don't know who to ask,Feel uncomfortable asking,Afraid of bothering others,Safety concerns,No quick response,Lack of trust,Language barrier",,Rarely,,,,,"User ratings/reviews,Identity verification,In-app chat,Location-based matching,Task categorisation,Profile information,Request tracking/status,All of above",,,3,3,2,4,2,4,Points,,2,3,4,2,Very useful,Definitely would use,,"Safety,Privacy,Scams/fraud,Time commitment,Reliability of users,No concerns",,,1
22/3/2026 1:58,22/3/2026 2:02,Survey Preview,,100,204,TRUE,22/3/2026 2:02,R_4ND7xLltkZbPCRH,-33.8672,151.1997,preview,Student,With roommates,More than 3 years,I've seen them but Don't interact,Sometimes,"Ask friends,Ask family,Use social media (e.g., Facebook groups),Use messaging apps (e.g., WhatsApp, WeChat),Do it myself,Give up / delay",,Rarely,"Lending items,Giving advice","Don't know who to ask,Feel uncomfortable asking,Afraid of bothering others,Safety concerns,No quick response,Lack of trust,Language barrier,Never experienced difficulty",,"Yes, occasionally",Facebook groups,,Fast responses,,"User ratings/reviews,Identity verification,In-app chat,Location-based matching,Task categorisation,Profile information,Request tracking/status,All of above",,,4,3,4,2,3,3,"Points,Badges,Progress bars / levels,Reputation score,Verified helper status,Community recognition,Small rewards or perks",,3,2,4,3,Very useful,Definitely would use,,"Privacy,Reliability of users",,,1
22/3/2026 2:32,22/3/2026 2:33,Survey Preview,,100,63,TRUE,22/3/2026 2:33,R_4DKNMv4JTQVpvvb,-33.8672,151.1997,preview,Student,With family,More than 3 years,I know a few casually,Rarely,Ask friends,,Never,,Don't know who to ask,,Rarely,,,,,User ratings/reviews,,,3,3,3,3,3,3,Badges,,3,3,3,3,Somewhat useful,Probably would use,,Privacy,,,1
23/3/2026 3:17,23/3/2026 3:35,Survey Preview,,100,1041,TRUE,23/3/2026 3:35,R_93EdLGb8lHe4pRY,-37.8149,144.9505,preview,Student,Living alone,Less than 3 months,"No, I Don't know them at all",Rarely,"Ask friends,Ask family,Do it myself",,Rarely,,"Feel uncomfortable asking,Afraid of bothering others",,"Yes, occasionally",WhatsApp / WeChat groups,,Large community,,"In-app chat,Location-based matching,Request tracking/status",,,5,5,4,4,5,5,"Badges,Community recognition,Small rewards or perks",,5,3,4,4,Somewhat useful,Probably would use,,"Safety,Reliability of users",,,1
23/3/2026 3:39,23/3/2026 3:42,Survey Preview,,100,186,TRUE,23/3/2026 3:42,R_4KZplvV9phsRFsk,-33.8672,151.1997,preview,Student,With roommates,More than 3 years,I've seen them but Don't interact,Sometimes,Ask friends,,Never,,"Feel uncomfortable asking,Safety concerns,Lack of trust",,Never,,,,,Identity verification,,,,,,,,,,,,,,,,,,,,,1
20/3/2026 3:09,20/3/2026 3:18,IP Address,163.47.120.222,55,548,FALSE,27/3/2026 3:18,R_4ysihpNDuu2ZmLT,-33.8672,151.1997,anonymous,Student,With roommates,More than 3 years,I've seen them but Don't interact,Sometimes,"Ask friends,Use social media (e.g., Facebook groups),Use messaging apps (e.g., WhatsApp, WeChat),Do it myself,Give up / delay",,Rarely,Emotional support,"Don't know who to ask,Afraid of bothering others,Language barrier",,Never,Others,,Others,,,,,,,,,,,,,,,,,,,,,,,1
